id,species,origin,size,region,goal,query,n_enabled,critical,recommended,optional_addons,plugins_used,ice_critical_recall,deterministic_pass,flags,config_source,review_status,critical_ok,optional_ok,query_ok,notes
gen_humangermlinestructuralCNVcodingclinicalinterpretation+populationfrequency,human,germline,structural-CNV,coding,clinical-interpretation+population-frequency,I have human germline WGS structural variants and CNVs; I want to assess their impact on protein-coding transcripts and population allele frequency for clinical pathogenicity assessment.,15,clinvar; core_type; gnomad_sv; hgvs; mane,appris; biotype; cadd; check_existing; dosage_sensitivity; frequency; numbers; phenotypes; symbol; tsl,failed; loeuf; mastermind; nmd; pubmed,cadd; dosage_sensitivity; gnomad_sv; phenotypes,0.8,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumansomaticsmallcoding+regulatorynoncodingclinicalinterpretation,non-human,somatic,small,coding+regulatory-noncoding,clinical-interpretation,"I am currently working through some sequencing results from a mouse model of cancer and I need to figure out how to properly annotate the list of changes we've identified in the tumor tissue. We are looking at single letter changes as well as small additions or removals of DNA, and it is really important for my analysis that I can see both the impact on protein-coding sequences and any potential effects on the control regions surrounding the genes. Ultimately, I need to be able to tell which of these changes look like they might actually be driving the tumor progression.",14,core_type; hgvs; regulatory,biotype; canonical; cell_type; check_existing; domains; maxentscan; mirna; numbers; phenotypes; sift; symbol,coding_only; failed; nmd; paralogues; protein; uniprot,maxentscan; phenotypes,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humangermlinestructuralCNVcoding+regulatorynoncodingpopulationfrequency,human,germline,structural-CNV,coding+regulatory-noncoding,population-frequency,I have human germline WGS with structural variants and CNVs. I need to annotate impacts on protein-coding and regulatory regions using population allele frequency context.,14,core_type; gnomad_sv; regulatory,appris; biotype; cell_type; check_existing; dosage_sensitivity; frequency; hgvs; mirna; numbers; symbol; tsl,clinvar; nmd,dosage_sensitivity; gnomad_sv,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumansomaticsmallregulatorynoncodingbasicconsequence+clinicalinterpretation,non-human,somatic,small,regulatory-noncoding,basic-consequence+clinical-interpretation,I am analyzing small DNA changes from a zebrafish tumor and need to quickly identify if any variants in the non-coding regions are disrupting gene regulation or could be considered pathogenic.,11,core_type; hgvs; regulatory,biotype; canonical; cell_type; check_existing; maxentscan; mirna; phenotypes; symbol,failed,maxentscan; phenotypes,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumangermlinesmallcoding+regulatorynoncodingbasicconsequence,non-human,germline,small,coding+regulatory-noncoding,basic-consequence,"Mouse germline WGS, SNV and indel variants; rapid top-line functional annotation for protein-coding and regulatory regions.",11,core_type; regulatory,biotype; canonical; cell_type; check_existing; domains; hgvs; mirna; numbers; symbol,coding_only; nmd; protein; uniprot,,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humansomaticstructuralCNVregulatorynoncodingpopulationfrequency,human,somatic,structural-CNV,regulatory-noncoding,population-frequency,I am analyzing human somatic WGS data to assess whether identified structural variants in regulatory regions overlap with common population allele frequencies.,9,core_type; gnomad_sv; regulatory,biotype; cell_type; check_existing; dosage_sensitivity; mirna; symbol,clinvar,dosage_sensitivity; gnomad_sv,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humangermlinestructuralCNVregulatorynoncodingpopulationfrequency,human,germline,structural-CNV,regulatory-noncoding,population-frequency,"I am processing human germline sequencing data from a large-scale population cohort and have identified several large structural changes, such as deletions and duplications of DNA segments. I want to focus my analysis on these changes when they occur in regulatory regions that control gene activity, rather than just looking at the protein-coding parts of the genome. For these types of variations, I need to ensure my annotation process includes information on how common these changes are within the general population so I can identify which ones are truly rare.",10,core_type; gnomad_sv; regulatory,biotype; cell_type; check_existing; dosage_sensitivity; frequency; mirna; symbol,clinvar,dosage_sensitivity; gnomad_sv,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumansomaticsmallcoding+regulatorynoncodingbasicconsequence+clinicalinterpretation,non-human,somatic,small,coding+regulatory-noncoding,basic-consequence+clinical-interpretation,I have somatic SNVs and indels from a mouse tumor. I need to identify the functional impact of both coding and regulatory variants for a preliminary pathogenicity assessment.,14,core_type; hgvs; regulatory,biotype; canonical; cell_type; check_existing; domains; maxentscan; mirna; numbers; phenotypes; sift; symbol,coding_only; failed; nmd; paralogues; protein; uniprot,maxentscan; phenotypes,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humangermlinestructuralCNVcoding+regulatorynoncodingbasicconsequence+populationfrequency,human,germline,structural-CNV,coding+regulatory-noncoding,basic-consequence+population-frequency,"I am reviewing human germline whole genome sequencing for a patient with suspected large-scale chromosomal changes. I need to quickly identify the impact on genes and regulatory regions, as well as how common these variants are in the general population.",14,core_type; gnomad_sv; regulatory,appris; biotype; cell_type; check_existing; dosage_sensitivity; frequency; hgvs; mirna; numbers; symbol; tsl,clinvar; nmd,dosage_sensitivity; gnomad_sv,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumansomaticsmallcodingclinicalinterpretation,non-human,somatic,small,coding,clinical-interpretation,"I am working with whole exome sequencing data from a cohort of zebrafish tumor models where I have identified several somatic SNVs and small indels by comparing the tumor DNA to matched germline samples. My primary goal is to identify which of these mutations in the protein-coding regions are likely to be pathogenic, so I need a way to assess their potential impact on the amino acid sequence and overall protein function to help prioritize candidate driver mutations for further study.",11,core_type; hgvs,biotype; canonical; check_existing; domains; maxentscan; numbers; phenotypes; sift; symbol,coding_only; failed; nmd; paralogues; protein; uniprot,maxentscan; phenotypes,0.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumangermlinesmallcodingbasicconsequence+clinicalinterpretation,non-human,germline,small,coding,basic-consequence+clinical-interpretation,I have germline Mus musculus WES data; I need to identify protein-altering SNVs and indels in coding regions and assess their predicted functional pathogenicity.,11,core_type; hgvs,biotype; canonical; check_existing; domains; maxentscan; numbers; phenotypes; sift; symbol,coding_only; failed; nmd; paralogues; protein; uniprot,maxentscan; phenotypes,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humansomaticstructuralCNVcodingbasicconsequence,human,somatic,structural-CNV,coding,basic-consequence,"I am working with human somatic whole exome sequencing data from a series of tumor biopsies and have identified several structural variants and copy number alterations that I need to interpret. Since I am still learning the ropes of setting up my annotation pipeline, I was wondering how I should approach this if my primary goal is just to get a quick top-line call on which protein-coding genes are being disrupted or lost by these large genomic changes, without necessarily needing an exhaustive breakdown of every small-scale nucleotide change at this stage.",10,core_type; gnomad_sv,appris; biotype; check_existing; dosage_sensitivity; hgvs; numbers; symbol; tsl,nmd,dosage_sensitivity; gnomad_sv,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humansomaticstructuralCNVregulatorynoncodingbasicconsequence+clinicalinterpretation+populationfrequency,human,somatic,structural-CNV,regulatory-noncoding,basic-consequence+clinical-interpretation+population-frequency,"I’m working through some human tumour sequencing data where we're specifically looking for large-scale changes in the DNA structure, like deletions or duplications. A lot of these structural changes are landing in the regions outside of the actual genes, so I need a way to quickly figure out if these stretches of missing or extra DNA might be affecting how genes are turned on or off. It would also be really helpful to see how common these types of variations are in the general healthy population so I can better judge whether a finding looks like a potential driver for the cancer or just a common variation.",13,clinvar; core_type; gnomad_sv; hgvs; regulatory,biotype; cadd; cell_type; check_existing; dosage_sensitivity; mirna; phenotypes; symbol,failed; loeuf; mastermind; pubmed,cadd; dosage_sensitivity; gnomad_sv; phenotypes,0.8,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumangermlinesmallregulatorynoncodingbasicconsequence,non-human,germline,small,regulatory-noncoding,basic-consequence,"I am working on a new project involving whole genome sequencing data from a large cohort of wild-type *Mus musculus* and I am trying to figure out how to properly set up my annotation pipeline. We have identified many germline SNVs and small indels, but since my research focuses specifically on the impact of variants in non-coding and regulatory regions like enhancers, I am struggling with the configuration. My goal is just to get a quick top-line assessment of whether these small variants fall within functional non-coding elements or have predicted effects in those areas.",8,core_type; regulatory,biotype; canonical; cell_type; check_existing; mirna; symbol,hgvs,,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humangermlinestructuralCNVcoding+regulatorynoncodingclinicalinterpretation+populationfrequency,human,germline,structural-CNV,coding+regulatory-noncoding,clinical-interpretation+population-frequency,"I am analyzing human germline WGS data from a patient to assess the clinical pathogenicity of both coding and regulatory variants, including any identified structural changes, against population allele frequencies.",18,clinvar; core_type; gnomad_sv; hgvs; mane; regulatory,appris; biotype; cadd; cell_type; check_existing; dosage_sensitivity; frequency; mirna; numbers; phenotypes; symbol; tsl,failed; loeuf; mastermind; nmd; pubmed,cadd; dosage_sensitivity; gnomad_sv; phenotypes,0.8333333333333334,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumansomaticsmallregulatorynoncodingclinicalinterpretation,non-human,somatic,small,regulatory-noncoding,clinical-interpretation,I am analyzing somatic SNVs and indels from a zebrafish tumor sample. I want to assess the potential pathogenicity of these non-coding variants by evaluating their impact on regulatory elements or transcription factor binding sites.,11,core_type; hgvs; regulatory,biotype; canonical; cell_type; check_existing; maxentscan; mirna; phenotypes; symbol,failed,maxentscan; phenotypes,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humansomaticstructuralCNVregulatorynoncodingclinicalinterpretation+populationfrequency,human,somatic,structural-CNV,regulatory-noncoding,clinical-interpretation+population-frequency,"I am looking at some human tumor sequencing results and I have noticed several large sections of DNA that seem to be either extra or missing. I am especially interested in the areas that don't actually make proteins but instead act as control switches for genes, as I want to see if these big changes might be affecting how those genes work and contributing to the cancer. It is also really important for me to know how common these same types of variations are in healthy people so I can tell the difference between normal variation and something potentially dangerous. How should I configure my run to get all that info about the regulatory impact and the population background?",13,clinvar; core_type; gnomad_sv; hgvs; regulatory,biotype; cadd; cell_type; check_existing; dosage_sensitivity; mirna; phenotypes; symbol,failed; loeuf; mastermind; pubmed,cadd; dosage_sensitivity; gnomad_sv; phenotypes,0.6,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumangermlinesmallcodingbasicconsequence,non-human,germline,small,coding,basic-consequence,"I am currently reviewing exome sequencing results from a cohort of mice used in our recent developmental study. We have identified several single-letter changes and small additions or deletions throughout the genome. For my preliminary report, I just need to quickly identify which of these variations actually alter the protein sequence or create an early stop signal within the coding regions.",8,core_type,biotype; canonical; check_existing; domains; hgvs; numbers; symbol,coding_only; nmd; protein; uniprot,,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humansomaticstructuralCNVcodingbasicconsequence+clinicalinterpretation+populationfrequency,human,somatic,structural-CNV,coding,basic-consequence+clinical-interpretation+population-frequency,"I have human somatic tumor WES/WGS data containing structural variants and CNVs. I want to identify protein-coding consequences, clinical pathogenicity, and population allele frequency context.",14,clinvar; core_type; gnomad_sv; hgvs; mane,appris; biotype; cadd; check_existing; dosage_sensitivity; numbers; phenotypes; symbol; tsl,failed; loeuf; mastermind; nmd; pubmed,cadd; dosage_sensitivity; gnomad_sv; phenotypes,0.8,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_nonhumangermlinesmallcoding+regulatorynoncodingclinicalinterpretation,non-human,germline,small,coding+regulatory-noncoding,clinical-interpretation,I am analyzing genome sequencing from a mouse model to determine if any small spelling changes in protein-coding or gene control regions are likely causing the observed disease.,14,core_type; hgvs; regulatory,biotype; canonical; cell_type; check_existing; domains; maxentscan; mirna; numbers; phenotypes; sift; symbol,coding_only; failed; nmd; paralogues; protein; uniprot,maxentscan; phenotypes,1.0,True,factor_unrecoverable:origin(unknown),PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
gen_humangermlinestructuralCNVcoding+regulatorynoncodingbasicconsequence,human,germline,structural-CNV,coding+regulatory-noncoding,basic-consequence,I am analyzing human germline structural variants and CNVs from a WGS cohort and want to quickly identify the primary functional consequences across both protein-coding and regulatory regions.,13,core_type; gnomad_sv; regulatory,appris; biotype; cell_type; check_existing; dosage_sensitivity; hgvs; mirna; numbers; symbol; tsl,nmd,dosage_sensitivity; gnomad_sv,1.0,True,,PROVISIONAL priority_by_factor.json (drives-authored) — not mentor-validated,pending,,,,
