id,factor,trick,background,plain_query,plain_truth,trap_query,trap_truth,twin_query,twin_truth,absent_query,absent_truth,label_ok (fill in)
spec-doma-2,species,domain,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","We have acquired somatic single-nucleotide changes, and they're mostly in coding exons. Can you just tell me the consequence types? It's all human data.",human,"We have acquired somatic single-nucleotide changes, and they're mostly in coding exons. Can you just tell me the consequence types? iPSCs from volunteer skin biopsies grown on mouse feeder cells, feeder reads removed.",human,"We have acquired somatic single-nucleotide changes, and they're mostly in coding exons. Can you just tell me the consequence types? The mouse feeder cells themselves, iPSC reads removed.",non-human,"We have acquired somatic single-nucleotide changes, and they're mostly in coding exons. Can you just tell me the consequence types?",unstated,
spec-doma-3,species,domain,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","It's all human data. We have somatic point mutations and a few short indels, and I only care about the ones in coding sequence. The goal is clinical interpretation.",human,"Neanderthal-introgressed segments in present-day Europeans. We have somatic point mutations and a few short indels, and I only care about the ones in coding sequence. The goal is clinical interpretation.",human,"The Neanderthal genome itself, from the Vindija bone. We have somatic point mutations and a few short indels, and I only care about the ones in coding sequence. The goal is clinical interpretation.",non-human,"We have somatic point mutations and a few short indels, and I only care about the ones in coding sequence. The goal is clinical interpretation.",unstated,
spec-doma-4,species,domain,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","We have inherited point mutations and a few short indels, and I only care about the non-coding regulatory ones. It's all dog data. All I really want is to know what each one hits.",non-human,"We have inherited point mutations and a few short indels, and I only care about the non-coding regulatory ones. A humanised mouse line; the genome we sequenced is the mouse's own. All I really want is to know what each one hits.",non-human,"We have inherited point mutations and a few short indels, and I only care about the non-coding regulatory ones. The human graft from a humanised mouse line; we sequenced only the human cells. All I really want is to know what each one hits.",human,"We have inherited point mutations and a few short indels, and I only care about the non-coding regulatory ones. All I really want is to know what each one hits.",unstated,
spec-doma-5,species,domain,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","Our lab just got back constitutional single-nucleotide changes, and I only care about the ones in coding sequence. The samples are from cattle. I just need the basic consequences, nothing fancy.",non-human,"Our lab just got back constitutional single-nucleotide changes, and I only care about the ones in coding sequence. Genomes from man's best friend: our kennel of Labradors. I just need the basic consequences, nothing fancy.",non-human,"Our lab just got back constitutional single-nucleotide changes, and I only care about the ones in coding sequence. Genomes from the kennel owners themselves, not their Labradors. I just need the basic consequences, nothing fancy.",human,"Our lab just got back constitutional single-nucleotide changes, and I only care about the ones in coding sequence. I just need the basic consequences, nothing fancy.",unstated,
spec-doma-6,species,domain,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","I'm trying to annotate tumour-derived somatic point mutations and a few short indels, mostly in regulatory regions. These are zebrafish samples. Are any of these likely to be disease-causing?",non-human,"I'm trying to annotate tumour-derived somatic point mutations and a few short indels, mostly in regulatory regions. Transgenic mice carrying a human transgene; we sequenced the mice. Are any of these likely to be disease-causing?",non-human,"I'm trying to annotate tumour-derived somatic point mutations and a few short indels, mostly in regulatory regions. People carrying the same gene as the transgene; we sequenced the people. Are any of these likely to be disease-causing?",human,"I'm trying to annotate tumour-derived somatic point mutations and a few short indels, mostly in regulatory regions. Are any of these likely to be disease-causing?",unstated,
orig-nega-1,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""population-frequency""]}","I'm trying to annotate CNVs and some big deletions from human samples, mostly in regulatory regions. These are inherited germline variants. Mainly I'm after allele frequencies in different populations.",germline,"I'm trying to annotate CNVs and some big deletions from human samples, mostly in regulatory regions. Not a tumour study, these variants are inherited. Mainly I'm after allele frequencies in different populations.",germline,"I'm trying to annotate CNVs and some big deletions from human samples, mostly in regulatory regions. A tumour study, these variants are acquired in the tumour. Mainly I'm after allele frequencies in different populations.",somatic,"I'm trying to annotate CNVs and some big deletions from human samples, mostly in regulatory regions. Mainly I'm after allele frequencies in different populations.",unstated,
orig-nega-2,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""population-frequency""]}","We have copy-number changes and other large SVs from human donors, mostly in protein-coding regions. The variants are germline. Mainly I'm after allele frequencies in different populations.",germline,"We have copy-number changes and other large SVs from human donors, mostly in protein-coding regions. Nothing somatic here: constitutional calls from blood. Mainly I'm after allele frequencies in different populations.",germline,"We have copy-number changes and other large SVs from human donors, mostly in protein-coding regions. Only somatic calls here, nothing constitutional from blood. Mainly I'm after allele frequencies in different populations.",somatic,"We have copy-number changes and other large SVs from human donors, mostly in protein-coding regions. Mainly I'm after allele frequencies in different populations.",unstated,
orig-nega-3,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","The variants are germline. I've got a VCF of copy-number changes and other large SVs from human samples, and I only care about the ones in coding sequence. I need to work out if any of them are pathogenic.",germline,"The variants were not acquired, they were passed down in the family. I've got a VCF of copy-number changes and other large SVs from human samples, and I only care about the ones in coding sequence. I need to work out if any of them are pathogenic.",germline,"The variants were acquired, not passed down in the family. I've got a VCF of copy-number changes and other large SVs from human samples, and I only care about the ones in coding sequence. I need to work out if any of them are pathogenic.",somatic,"I've got a VCF of copy-number changes and other large SVs from human samples, and I only care about the ones in coding sequence. I need to work out if any of them are pathogenic.",unstated,
orig-nega-4,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","So I've got copy-number changes and other large SVs from human samples, and I only care about the non-coding regulatory ones. All I really want is to know what each one hits. They were acquired somatically.",somatic,"So I've got copy-number changes and other large SVs from human samples, and I only care about the non-coding regulatory ones. All I really want is to know what each one hits. These are not inherited; they arose in the tumour.",somatic,"So I've got copy-number changes and other large SVs from human samples, and I only care about the non-coding regulatory ones. All I really want is to know what each one hits. These are inherited; they did not arise in a tumour.",germline,"So I've got copy-number changes and other large SVs from human samples, and I only care about the non-coding regulatory ones. All I really want is to know what each one hits.",unstated,
orig-nega-5,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","These are somatic mutations. I'm trying to annotate structural variants from Homo sapiens samples, and I only care about the ones in coding sequence. I just need the basic consequences, nothing fancy.",somatic,"No germline calls in this set, only mutations from the lesion. I'm trying to annotate structural variants from Homo sapiens samples, and I only care about the ones in coding sequence. I just need the basic consequences, nothing fancy.",somatic,"Only germline calls in this set, no mutations from a lesion. I'm trying to annotate structural variants from Homo sapiens samples, and I only care about the ones in coding sequence. I just need the basic consequences, nothing fancy.",germline,"I'm trying to annotate structural variants from Homo sapiens samples, and I only care about the ones in coding sequence. I just need the basic consequences, nothing fancy.",unstated,
orig-nega-6,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","Hi, we called copy-number changes and other large SVs from human samples, mostly in regulatory regions. The goal is clinical interpretation. The variants are somatic.",somatic,"Hi, we called copy-number changes and other large SVs from human samples, mostly in regulatory regions. The goal is clinical interpretation. We didn't sequence the family, only the biopsy's acquired changes.",somatic,"Hi, we called copy-number changes and other large SVs from human samples, mostly in regulatory regions. The goal is clinical interpretation. We sequenced the family, no acquired biopsy changes.",germline,"Hi, we called copy-number changes and other large SVs from human samples, mostly in regulatory regions. The goal is clinical interpretation.",unstated,
orig-word-1,origin,word_sense,"{""species"": ""human"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""population-frequency""]}","I've got a VCF of SNVs and small indels from human samples, and I only care about the ones in coding sequence. They're constitutional calls. Mainly I'm after allele frequencies in different populations.",germline,"I've got a VCF of SNVs and small indels from human samples, and I only care about the ones in coding sequence. The project has metastasised into three labs; the calls are inherited variants from family trios. Mainly I'm after allele frequencies in different populations.",germline,"I've got a VCF of SNVs and small indels from human samples, and I only care about the ones in coding sequence. The tumour has metastasised to three sites; the calls are acquired variants from the lesions. Mainly I'm after allele frequencies in different populations.",somatic,"I've got a VCF of SNVs and small indels from human samples, and I only care about the ones in coding sequence. Mainly I'm after allele frequencies in different populations.",unstated,
orig-word-2,origin,word_sense,"{""species"": ""human"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""population-frequency""]}","I'm working with point mutations and a few short indels from Homo sapiens samples, and they're mostly in promoters and enhancers. Mainly I'm after allele frequencies in different populations. These are inherited germline variants.",germline,"I'm working with point mutations and a few short indels from Homo sapiens samples, and they're mostly in promoters and enhancers. Mainly I'm after allele frequencies in different populations. This cancer of a pipeline finally ran; the variants are inherited from the parents.",germline,"I'm working with point mutations and a few short indels from Homo sapiens samples, and they're mostly in promoters and enhancers. Mainly I'm after allele frequencies in different populations. This cancer pipeline finally ran; the variants were acquired in the tumour.",somatic,"I'm working with point mutations and a few short indels from Homo sapiens samples, and they're mostly in promoters and enhancers. Mainly I'm after allele frequencies in different populations.",unstated,
orig-word-3,origin,word_sense,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""population-frequency""]}","Our lab just got back copy-number changes and other large SVs from human donors, and I only care about the non-coding regulatory ones. I want to see how common they are across populations. They're constitutional calls.",germline,"Our lab just got back copy-number changes and other large SVs from human donors, and I only care about the non-coding regulatory ones. I want to see how common they are across populations. The donor, a Cancer by star sign, gave blood for this constitutional panel.",germline,"Our lab just got back copy-number changes and other large SVs from human donors, and I only care about the non-coding regulatory ones. I want to see how common they are across populations. The donor with cancer gave a tumour biopsy for this somatic panel.",somatic,"Our lab just got back copy-number changes and other large SVs from human donors, and I only care about the non-coding regulatory ones. I want to see how common they are across populations.",unstated,
