id,factor,trick,background,plain_query,plain_truth,trap_query,trap_truth,twin_query,twin_truth,absent_query,absent_truth,label_ok (fill in)
spec-word-5,species,word_sense,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","The samples are from zebrafish. Point mutations and short indels, acquired somatic variants, protein-coding exons, basic consequence annotation.",non-human,"Human error aside, these calls are from the cattle herd. Point mutations and short indels, acquired somatic variants, protein-coding exons, basic consequence annotation.",non-human,"Error aside, these calls are from human donors. Point mutations and short indels, acquired somatic variants, protein-coding exons, basic consequence annotation.",human,"Point mutations and short indels, acquired somatic variants, protein-coding exons, basic consequence annotation.",unstated,
spec-word-6,species,word_sense,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","These are dog samples. Point mutations and short indels, is any of it pathogenic, constitutional calls, promoters and enhancers.",non-human,"After hundreds of man-hours the goat genomes are finally called. Point mutations and short indels, is any of it pathogenic, constitutional calls, promoters and enhancers.",non-human,"After hundreds of hours the donors' human genomes are finally called. Point mutations and short indels, is any of it pathogenic, constitutional calls, promoters and enhancers.",human,"Point mutations and short indels, is any of it pathogenic, constitutional calls, promoters and enhancers.",unstated,
spec-tool-1,species,tool_name,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","It's all human data. Coding regions, just the consequence types, point mutations and short indels, constitutional calls.",human,"Expression was quantified with Salmon beforehand, and the samples are human. Coding regions, just the consequence types, point mutations and short indels, constitutional calls.",human,"The samples are Atlantic salmon from the fish farm. Coding regions, just the consequence types, point mutations and short indels, constitutional calls.",non-human,"Coding regions, just the consequence types, point mutations and short indels, constitutional calls.",unstated,
spec-tool-2,species,tool_name,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","The samples are human. Somatic calls, is any of it pathogenic, single-nucleotide variants, non-coding regulatory elements.",human,"Phased with Beagle; the genomes are human. Somatic calls, is any of it pathogenic, single-nucleotide variants, non-coding regulatory elements.",human,"The genomes are from beagles in the kennel colony. Somatic calls, is any of it pathogenic, single-nucleotide variants, non-coding regulatory elements.",non-human,"Somatic calls, is any of it pathogenic, single-nucleotide variants, non-coding regulatory elements.",unstated,
spec-tool-3,species,tool_name,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","Point mutations and short indels, just the consequence types, inherited variants, promoters and enhancers. These are human samples.",human,"Point mutations and short indels, just the consequence types, inherited variants, promoters and enhancers. Scripts are Python and pandas, all human data.",human,"Point mutations and short indels, just the consequence types, inherited variants, promoters and enhancers. All data are from the pandas at the zoo.",non-human,"Point mutations and short indels, just the consequence types, inherited variants, promoters and enhancers.",unstated,
spec-tool-4,species,tool_name,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","In coding sequence, somatic mutations, pathogenicity assessment, SNVs and small indels. The samples are from zebrafish.",non-human,"In coding sequence, somatic mutations, pathogenicity assessment, SNVs and small indels. Terms were mapped with the Human Phenotype Ontology, but the animals are zebrafish mutants.",non-human,"In coding sequence, somatic mutations, pathogenicity assessment, SNVs and small indels. Terms were mapped with the Human Phenotype Ontology for these human donors.",human,"In coding sequence, somatic mutations, pathogenicity assessment, SNVs and small indels.",unstated,
spec-tool-5,species,tool_name,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","Somatic calls, coding regions, SNVs and small indels, pathogenicity assessment. It's all rat data.",non-human,"Somatic calls, coding regions, SNVs and small indels, pathogenicity assessment. Cross-checked against the Human Protein Atlas; the tissue is from pigs.",non-human,"Somatic calls, coding regions, SNVs and small indels, pathogenicity assessment. Cross-checked against the Human Protein Atlas; the tissue is from human donors.",human,"Somatic calls, coding regions, SNVs and small indels, pathogenicity assessment.",unstated,
spec-tool-6,species,tool_name,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","Basic consequence annotation, SNVs and small indels, inherited variants, non-coding regulatory elements. The samples are from rat.",non-human,"Basic consequence annotation, SNVs and small indels, inherited variants, non-coding regulatory elements. The pipeline is called HumanSeq internally, but it runs on chicken samples.",non-human,"Basic consequence annotation, SNVs and small indels, inherited variants, non-coding regulatory elements. The pipeline runs on human samples.",human,"Basic consequence annotation, SNVs and small indels, inherited variants, non-coding regulatory elements.",unstated,
spec-atta-1,species,attachment,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","These are human samples. Somatic calls, promoters and enhancers, is any of it pathogenic, single-nucleotide variants.",human,"My supervisor works on mouse models, but my samples are human. Somatic calls, promoters and enhancers, is any of it pathogenic, single-nucleotide variants.",human,"My supervisor works on mouse models and so do I: these are mouse samples. Somatic calls, promoters and enhancers, is any of it pathogenic, single-nucleotide variants.",non-human,"Somatic calls, promoters and enhancers, is any of it pathogenic, single-nucleotide variants.",unstated,
spec-atta-2,species,attachment,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","The samples are human. Basic consequence annotation, point mutations and short indels, germline, coding regions.",human,"The variants were first reported in a zebrafish screen; ours are from human donors. Basic consequence annotation, point mutations and short indels, germline, coding regions.",human,"The variants come from our zebrafish screen, fish embryos. Basic consequence annotation, point mutations and short indels, germline, coding regions.",non-human,"Basic consequence annotation, point mutations and short indels, germline, coding regions.",unstated,
spec-atta-3,species,attachment,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","It's all human data. What each one hits, nothing more, somatic calls, point mutations and short indels, protein-coding exons.",human,"We followed a protocol written for pig tissue, but the DNA is human. What each one hits, nothing more, somatic calls, point mutations and short indels, protein-coding exons.",human,"We followed a protocol for pig tissue, and the DNA is porcine. What each one hits, nothing more, somatic calls, point mutations and short indels, protein-coding exons.",non-human,"What each one hits, nothing more, somatic calls, point mutations and short indels, protein-coding exons.",unstated,
spec-atta-4,species,attachment,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","Is any of it pathogenic, non-coding regulatory elements, point mutations and short indels, germline. It's all pig data.",non-human,"Is any of it pathogenic, non-coding regulatory elements, point mutations and short indels, germline. The grant is for human health, but the sequencing is on sheep.",non-human,"Is any of it pathogenic, non-coding regulatory elements, point mutations and short indels, germline. The grant is for human health, and the sequencing is on human volunteers.",human,"Is any of it pathogenic, non-coding regulatory elements, point mutations and short indels, germline.",unstated,
spec-atta-5,species,attachment,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","The samples are from dog. Point mutations and short indels, non-coding regulatory elements, just the consequence types, acquired somatic variants.",non-human,"Reads were checked for human contamination and those were removed; what is left is mouse. Point mutations and short indels, non-coding regulatory elements, just the consequence types, acquired somatic variants.",non-human,"Reads were checked for mouse contamination and those were removed; what is left is human. Point mutations and short indels, non-coding regulatory elements, just the consequence types, acquired somatic variants.",human,"Point mutations and short indels, non-coding regulatory elements, just the consequence types, acquired somatic variants.",unstated,
spec-atta-6,species,attachment,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","Inherited variants, pathogenicity assessment, coding regions, SNVs and small indels. It's all pig data.",non-human,"Inherited variants, pathogenicity assessment, coding regions, SNVs and small indels. Our collaborators do human genetics; we sent them these rat genomes.",non-human,"Inherited variants, pathogenicity assessment, coding regions, SNVs and small indels. Our collaborators do human genetics; these are their human genomes.",human,"Inherited variants, pathogenicity assessment, coding regions, SNVs and small indels.",unstated,
spec-doma-1,species,domain,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","It's all human data. Coding regions, acquired somatic variants, basic consequence annotation, single-nucleotide variants.",human,"Human cells grown inside a mouse host; the reads were filtered to the grafted cells. Coding regions, acquired somatic variants, basic consequence annotation, single-nucleotide variants.",human,"Cells from the mouse host; the reads were filtered to the host genome. Coding regions, acquired somatic variants, basic consequence annotation, single-nucleotide variants.",non-human,"Coding regions, acquired somatic variants, basic consequence annotation, single-nucleotide variants.",unstated,
spec-doma-2,species,domain,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","Pathogenicity assessment, SNVs and small indels, inherited variants, promoters and enhancers. These are human samples.",human,"Pathogenicity assessment, SNVs and small indels, inherited variants, promoters and enhancers. iPSCs from volunteer skin biopsies grown on mouse feeder cells, feeder reads removed.",human,"Pathogenicity assessment, SNVs and small indels, inherited variants, promoters and enhancers. The mouse feeder cells themselves, iPSC reads removed.",non-human,"Pathogenicity assessment, SNVs and small indels, inherited variants, promoters and enhancers.",unstated,
spec-doma-3,species,domain,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","The samples are human. Clinical interpretation, acquired somatic variants, single-nucleotide variants, promoters and enhancers.",human,"Neanderthal-introgressed segments in present-day Europeans. Clinical interpretation, acquired somatic variants, single-nucleotide variants, promoters and enhancers.",human,"The Neanderthal genome itself, from the Vindija bone. Clinical interpretation, acquired somatic variants, single-nucleotide variants, promoters and enhancers.",non-human,"Clinical interpretation, acquired somatic variants, single-nucleotide variants, promoters and enhancers.",unstated,
spec-doma-4,species,domain,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","Basic consequence annotation, constitutional calls, protein-coding exons, single-nucleotide variants. The samples are from pig.",non-human,"Basic consequence annotation, constitutional calls, protein-coding exons, single-nucleotide variants. A humanised mouse line; the genome we sequenced is the mouse's own.",non-human,"Basic consequence annotation, constitutional calls, protein-coding exons, single-nucleotide variants. The human graft from a humanised mouse line; we sequenced only the human cells.",human,"Basic consequence annotation, constitutional calls, protein-coding exons, single-nucleotide variants.",unstated,
spec-doma-5,species,domain,"{""origin"": ""germline"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","The samples are from zebrafish. Point mutations and short indels, constitutional calls, in coding sequence, is any of it pathogenic.",non-human,"Genomes from man's best friend: our kennel of Labradors. Point mutations and short indels, constitutional calls, in coding sequence, is any of it pathogenic.",non-human,"Genomes from the kennel owners themselves, not their Labradors. Point mutations and short indels, constitutional calls, in coding sequence, is any of it pathogenic.",human,"Point mutations and short indels, constitutional calls, in coding sequence, is any of it pathogenic.",unstated,
spec-doma-6,species,domain,"{""origin"": ""somatic"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","Promoters and enhancers, what each one hits, nothing more, single-nucleotide variants, acquired somatic variants. These are pig samples.",non-human,"Promoters and enhancers, what each one hits, nothing more, single-nucleotide variants, acquired somatic variants. Transgenic mice carrying a human transgene; we sequenced the mice.",non-human,"Promoters and enhancers, what each one hits, nothing more, single-nucleotide variants, acquired somatic variants. People carrying the same gene as the transgene; we sequenced the people.",human,"Promoters and enhancers, what each one hits, nothing more, single-nucleotide variants, acquired somatic variants.",unstated,
orig-nega-1,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""population-frequency""]}","Human, CNVs and large deletions, promoters and enhancers, frequency lookup across populations. The variants are germline.",germline,"Human, CNVs and large deletions, promoters and enhancers, frequency lookup across populations. Not a tumour study, these variants are inherited.",germline,"Human, CNVs and large deletions, promoters and enhancers, frequency lookup across populations. A tumour study, these variants are acquired in the tumour.",somatic,"Human, CNVs and large deletions, promoters and enhancers, frequency lookup across populations.",unstated,
orig-nega-2,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""population-frequency""]}","Population allele frequencies, copy-number and structural calls, protein-coding exons, human samples. These are inherited germline variants.",germline,"Population allele frequencies, copy-number and structural calls, protein-coding exons, human samples. Nothing somatic here: constitutional calls from blood.",germline,"Population allele frequencies, copy-number and structural calls, protein-coding exons, human samples. Only somatic calls here, nothing constitutional from blood.",somatic,"Population allele frequencies, copy-number and structural calls, protein-coding exons, human samples.",unstated,
orig-nega-3,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","Human samples, copy-number and structural calls, just the consequence types, regulatory regions. The variants are germline.",germline,"Human samples, copy-number and structural calls, just the consequence types, regulatory regions. The variants were not acquired, they were passed down in the family.",germline,"Human samples, copy-number and structural calls, just the consequence types, regulatory regions. The variants were acquired, not passed down in the family.",somatic,"Human samples, copy-number and structural calls, just the consequence types, regulatory regions.",unstated,
orig-nega-4,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","Is any of it pathogenic, copy-number and structural calls, human, in coding sequence. They were acquired somatically.",somatic,"Is any of it pathogenic, copy-number and structural calls, human, in coding sequence. These are not inherited; they arose in the tumour.",somatic,"Is any of it pathogenic, copy-number and structural calls, human, in coding sequence. These are inherited; they did not arise in a tumour.",germline,"Is any of it pathogenic, copy-number and structural calls, human, in coding sequence.",unstated,
orig-nega-5,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","They were acquired somatically. Clinical interpretation, copy-number and structural calls, human, non-coding regulatory elements.",somatic,"No germline calls in this set, only mutations from the lesion. Clinical interpretation, copy-number and structural calls, human, non-coding regulatory elements.",somatic,"Only germline calls in this set, no mutations from a lesion. Clinical interpretation, copy-number and structural calls, human, non-coding regulatory elements.",germline,"Clinical interpretation, copy-number and structural calls, human, non-coding regulatory elements.",unstated,
orig-nega-6,origin,negation,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","These are somatic mutations. Basic consequence annotation, CNVs and large deletions, Homo sapiens data, coding regions.",somatic,"We didn't sequence the family, only the biopsy's acquired changes. Basic consequence annotation, CNVs and large deletions, Homo sapiens data, coding regions.",somatic,"We sequenced the family, no acquired biopsy changes. Basic consequence annotation, CNVs and large deletions, Homo sapiens data, coding regions.",germline,"Basic consequence annotation, CNVs and large deletions, Homo sapiens data, coding regions.",unstated,
orig-word-1,origin,word_sense,"{""species"": ""human"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""population-frequency""]}","How common they are in populations, point mutations and short indels, human samples, in coding sequence. They're constitutional calls.",germline,"How common they are in populations, point mutations and short indels, human samples, in coding sequence. The project has metastasised into three labs; the calls are inherited variants from family trios.",germline,"How common they are in populations, point mutations and short indels, human samples, in coding sequence. The tumour has metastasised to three sites; the calls are acquired variants from the lesions.",somatic,"How common they are in populations, point mutations and short indels, human samples, in coding sequence.",unstated,
orig-word-2,origin,word_sense,"{""species"": ""human"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""population-frequency""]}","They're constitutional calls. Population allele frequencies, non-coding regulatory elements, Homo sapiens data, point mutations and short indels.",germline,"This cancer of a pipeline finally ran; the variants are inherited from the parents. Population allele frequencies, non-coding regulatory elements, Homo sapiens data, point mutations and short indels.",germline,"This cancer pipeline finally ran; the variants were acquired in the tumour. Population allele frequencies, non-coding regulatory elements, Homo sapiens data, point mutations and short indels.",somatic,"Population allele frequencies, non-coding regulatory elements, Homo sapiens data, point mutations and short indels.",unstated,
orig-word-3,origin,word_sense,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""population-frequency""]}","Human samples, copy-number and structural calls, frequency lookup across populations, protein-coding exons. They're constitutional calls.",germline,"Human samples, copy-number and structural calls, frequency lookup across populations, protein-coding exons. The donor, a Cancer by star sign, gave blood for this constitutional panel.",germline,"Human samples, copy-number and structural calls, frequency lookup across populations, protein-coding exons. The donor with cancer gave a tumour biopsy for this somatic panel.",somatic,"Human samples, copy-number and structural calls, frequency lookup across populations, protein-coding exons.",unstated,
orig-word-4,origin,word_sense,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""population-frequency""]}","They were acquired somatically. Copy-number and structural calls, Homo sapiens data, regulatory regions, how common they are in populations.",somatic,"The whole lab family pitched in; the calls are acquired mutations from tumour biopsies. Copy-number and structural calls, Homo sapiens data, regulatory regions, how common they are in populations.",somatic,"The whole family pitched in; the calls are inherited variants from the parents. Copy-number and structural calls, Homo sapiens data, regulatory regions, how common they are in populations.",germline,"Copy-number and structural calls, Homo sapiens data, regulatory regions, how common they are in populations.",unstated,
orig-word-5,origin,word_sense,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""basic-consequence""]}","Basic consequence annotation, Homo sapiens data, regulatory regions, structural variants. They were acquired somatically.",somatic,"Basic consequence annotation, Homo sapiens data, regulatory regions, structural variants. Our inherited legacy code handles these somatic tumour calls.",somatic,"Basic consequence annotation, Homo sapiens data, regulatory regions, structural variants. Our code handles these variants inherited from the parents.",germline,"Basic consequence annotation, Homo sapiens data, regulatory regions, structural variants.",unstated,
orig-word-6,origin,word_sense,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""clinical-interpretation""]}","The variants are somatic. Human, structural variants, coding regions, is any of it pathogenic.",somatic,"We rebuilt the analysis de novo; the variants were acquired in tumour cells. Human, structural variants, coding regions, is any of it pathogenic.",somatic,"The variants arose de novo in the child, not in tumour cells. Human, structural variants, coding regions, is any of it pathogenic.",germline,"Human, structural variants, coding regions, is any of it pathogenic.",unstated,
orig-tool-1,origin,tool_name,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""basic-consequence""]}","Human samples, copy-number and structural calls, in coding sequence, what each one hits, nothing more. They're constitutional calls.",germline,"Human samples, copy-number and structural calls, in coding sequence, what each one hits, nothing more. We keep COSMIC open for lookups, but these are inherited variants from blood.",germline,"Human samples, copy-number and structural calls, in coding sequence, what each one hits, nothing more. These come straight from COSMIC tumour samples, acquired variants.",somatic,"Human samples, copy-number and structural calls, in coding sequence, what each one hits, nothing more.",unstated,
orig-tool-2,origin,tool_name,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""clinical-interpretation""]}","These are inherited germline variants. Copy-number and structural calls, promoters and enhancers, is any of it pathogenic, Homo sapiens data.",germline,"The Mutect2 install failed, so HaplotypeCaller ran on the family's blood samples. Copy-number and structural calls, promoters and enhancers, is any of it pathogenic, Homo sapiens data.",germline,"Mutect2 ran on the tumour-normal pairs. Copy-number and structural calls, promoters and enhancers, is any of it pathogenic, Homo sapiens data.",somatic,"Copy-number and structural calls, promoters and enhancers, is any of it pathogenic, Homo sapiens data.",unstated,
orig-tool-3,origin,tool_name,"{""species"": ""human"", ""variant_size_class"": [""small""], ""region_focus"": [""coding""], ""analysis_goal"": [""population-frequency""]}","Human samples, protein-coding exons, single-nucleotide variants, how common they are in populations. They're constitutional calls.",germline,"Human samples, protein-coding exons, single-nucleotide variants, how common they are in populations. The TCGA portal was only used for reference downloads; our calls are inherited, from parents and child.",germline,"Human samples, protein-coding exons, single-nucleotide variants, how common they are in populations. Our calls were downloaded from the TCGA portal: acquired tumour mutations.",somatic,"Human samples, protein-coding exons, single-nucleotide variants, how common they are in populations.",unstated,
orig-tool-4,origin,tool_name,"{""species"": ""human"", ""variant_size_class"": [""small""], ""region_focus"": [""regulatory-noncoding""], ""analysis_goal"": [""population-frequency""]}","They were acquired somatically. Non-coding regulatory elements, human, SNVs and small indels, population allele frequencies.",somatic,"DeepTrio is installed but unused; the calls came from Mutect2 on tumour biopsies. Non-coding regulatory elements, human, SNVs and small indels, population allele frequencies.",somatic,"DeepTrio made the calls on the parent-child trio. Non-coding regulatory elements, human, SNVs and small indels, population allele frequencies.",germline,"Non-coding regulatory elements, human, SNVs and small indels, population allele frequencies.",unstated,
orig-tool-5,origin,tool_name,"{""species"": ""human"", ""variant_size_class"": [""structural-CNV""], ""region_focus"": [""coding""], ""analysis_goal"": [""population-frequency""]}","The variants are somatic. Human, population allele frequencies, in coding sequence, structural variants.",somatic,"The GATK germline best-practices page got us started, but these calls are acquired tumour mutations. Human, population allele frequencies, in coding sequence, structural variants.",somatic,"The GATK germline best-practices pipeline produced these inherited calls from blood. Human, population allele frequencies, in coding sequence, structural variants.",germline,"Human, population allele frequencies, in coding sequence, structural variants.",unstated,
